Date,G_AC_Vertical_Speed,G_ACC_Lateral,G_ACC_Normal
6/6/2018 8:05:11 PM,800,0.0,0.0
6/6/2018 8:05:12 PM,832,0.0,0.0
6/6/2018 8:05:13 PM,880,0.0,0.0
6/6/2018 8:05:14 PM,896,0.0,0.0
6/6/2018 8:05:15 PM,944,0.0,0.0
6/6/2018 8:05:16 PM,992,0.0,0.0
6/6/2018 8:05:17 PM,992,0.0,0.0
6/6/2018 8:05:25 PM,992,0.0,0.0
6/6/2018 8:05:26 PM,976,0.0,0.0
6/6/2018 8:05:27 PM,976,0.0,0.0
6/6/2018 8:05:28 PM,992,0.0,0.0
6/6/2018 8:05:29 PM,944,0.0,0.0
6/6/2018 8:05:30 PM,944,0.0,0.0
6/6/2018 8:05:31 PM,944,0.0,0.0
6/6/2018 8:05:32 PM,959,0.0,0.0
6/6/2018 8:05:33 PM,976,0.0,0.0
6/6/2018 8:05:34 PM,944,0.0,0.0
6/6/2018 8:05:35 PM,976,0.0,0.0
6/6/2018 8:05:36 PM,992,0.0,0.0
6/6/2018 8:05:37 PM,976,0.0,0.0
6/6/2018 8:05:38 PM,992,0.0,0.0
6/6/2018 8:05:52 PM,992,0.0,0.0
6/6/2018 8:05:53 PM,992,0.0,0.0
6/6/2018 8:05:54 PM,976,0.0,0.0
6/6/2018 8:05:55 PM,944,0.0,0.0
6/6/2018 8:05:56 PM,912,0.0,0.0
6/6/2018 8:05:57 PM,880,0.0,0.0
6/6/2018 8:05:58 PM,864,0.0,0.0
6/6/2018 8:05:59 PM,864,0.0,0.0
6/6/2018 8:06:00 PM,896,0.0,0.0
6/6/2018 8:06:01 PM,896,0.0,0.0
6/6/2018 8:06:02 PM,928,0.0,0.0
6/6/2018 8:06:03 PM,928,0.0,0.0
6/6/2018 8:06:04 PM,944,0.0,0.0
6/6/2018 8:06:05 PM,976,0.0,0.0
6/6/2018 8:06:06 PM,1008,0.0,0.0
6/6/2018 8:06:07 PM,1088,0.0,0.0
6/6/2018 8:06:08 PM,1152,0.0,0.0
6/6/2018 8:06:09 PM,1168,0.0,0.0
6/6/2018 8:06:10 PM,1168,0.0,0.0
6/6/2018 8:06:11 PM,1184,0.0,0.0
6/6/2018 8:06:12 PM,1184,0.0,0.0
6/6/2018 8:06:13 PM,1232,0.0,0.0
6/6/2018 8:06:14 PM,1232,0.0,0.0
6/6/2018 8:06:15 PM,1174,0.0,0.0
6/6/2018 8:06:16 PM,1067,0.0,0.0
6/6/2018 8:06:17 PM,864,0.0,0.0
6/6/2018 8:06:18 PM,704,0.0,0.0
6/6/2018 8:06:19 PM,560,0.0,0.0
6/6/2018 8:06:20 PM,432,0.0,0.0
6/6/2018 8:06:21 PM,344,0.0,0.0
6/6/2018 8:06:22 PM,272,0.0,0.0
6/6/2018 8:06:23 PM,240,0.0,0.0
6/6/2018 8:06:24 PM,224,0.0,0.0
6/6/2018 8:06:25 PM,160,0.0,0.0
6/6/2018 8:06:26 PM,128,0.0,-0.1
6/6/2018 8:06:27 PM,113,0.0,-0.1
6/6/2018 8:06:28 PM,48,0.0,-0.1
6/6/2018 8:06:29 PM,32,0.0,-0.1
6/6/2018 8:06:30 PM,48,0.0,-0.1
6/6/2018 8:06:31 PM,32,0.0,-0.1
6/6/2018 8:06:32 PM,3,0.0,-0.1
6/6/2018 8:06:33 PM,-14,0.0,-0.1
6/6/2018 8:06:34 PM,-16,0.0,-0.1
6/6/2018 8:06:35 PM,0,0.0,-0.1
6/6/2018 8:06:36 PM,0,0.0,-0.1
6/6/2018 8:06:37 PM,0,0.0,-0.1
6/6/2018 8:06:38 PM,-15,0.0,-0.1
6/6/2018 8:06:39 PM,-45,0.0,-0.1
6/6/2018 8:06:40 PM,-48,0.0,-0.1
6/6/2018 8:06:41 PM,-63,0.0,-0.1
6/6/2018 8:06:42 PM,-48,0.0,-0.1
6/6/2018 8:06:43 PM,-48,0.0,-0.1
6/6/2018 8:06:44 PM,-32,0.0,-0.1
6/6/2018 8:06:45 PM,-47,0.0,-0.1
6/6/2018 8:06:46 PM,-63,0.0,-0.1
6/6/2018 8:06:47 PM,-78,0.0,0.0
6/6/2018 8:06:48 PM,-50,0.0,0.0
6/6/2018 8:06:49 PM,-16,0.0,0.0
6/6/2018 8:06:50 PM,-32,0.0,0.0
6/6/2018 8:06:51 PM,0,0.0,0.0
6/6/2018 8:06:52 PM,-16,0.0,0.0
6/6/2018 8:06:53 PM,-48,0.0,0.0
6/6/2018 8:06:54 PM,-32,0.0,0.0
6/6/2018 8:06:55 PM,-64,0.0,0.0
6/6/2018 8:06:56 PM,-48,0.0,0.0
6/6/2018 8:06:57 PM,-48,0.0,0.0
6/6/2018 8:06:58 PM,0,0.0,0.0
6/6/2018 8:06:59 PM,0,0.0,0.0
6/6/2018 8:07:00 PM,-15,0.0,0.0
6/6/2018 8:07:01 PM,-33,0.0,0.0
6/6/2018 8:07:02 PM,-48,0.0,0.0
6/6/2018 8:07:03 PM,-48,0.0,0.1
6/6/2018 8:07:04 PM,-48,0.0,0.1
6/6/2018 8:07:05 PM,-80,0.0,0.1
6/6/2018 8:07:06 PM,-48,0.0,0.0
6/6/2018 8:07:07 PM,-32,0.0,0.0
6/6/2018 8:07:08 PM,16,0.0,0.0
6/6/2018 8:07:09 PM,1,0.0,0.0
6/6/2018 8:07:10 PM,0,0.0,-0.1
6/6/2018 8:07:11 PM,-48,0.0,-0.1
6/6/2018 8:07:12 PM,-48,0.0,0.0
6/6/2018 8:07:13 PM,-80,0.0,0.0
6/6/2018 8:07:14 PM,-80,0.0,0.0
6/6/2018 8:07:15 PM,-112,0.0,0.0
6/6/2018 8:07:16 PM,-96,0.0,0.0
6/6/2018 8:07:17 PM,-80,0.0,0.0
6/6/2018 8:07:18 PM,-48,0.0,0.1
6/6/2018 8:07:19 PM,-16,0.0,0.0
